;Title;Reason Jerome;Reason Daniel
0;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;
1;Measuring the Fidelity of Digital Twin Systems;Challenge/Position Paper;Challenge/Position Paper
2;Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;No MDE technique used;No MDE technique used
3;Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;No Model used;
4;Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;;No MDE technique used
5;Modular Fault Ascription and Corrective Maintenance Using a Digital Twin;No MDE technique used;No MDE technique used
6;Generating customized low-code development platforms for digital twins;;
7;A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin;No MDE technique used;No MDE technique used
8;Meta-model-based shop-floor digital twin architecture, modeling and application;No MDE technique used;
9;3D crowdsourced parametric cadastral mapping: Pathways integrating BIM/IFC, crowdsourced data and LADM;No MDE technique used;No MDE technique used
10;Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;;
11;Digital Twin Enables Rational Design of Ultrahigh-Power Lithium-Ion Batteries;;No MDE technique used
12;A framework for Model-Driven Engineering of resilient software-controlled systems;No MDE technique used;
13;Model-Driven Development of a Digital Twin for Injection Molding;;
14;The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;No MDE technique used;
15;The Research of Aero-engine Digital Twin Model Based on Model-driven and Data-driven Fusion Method;No MDE technique used;No MDE technique used
16;Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;;
17;Towards a Reference Architecture for Leveraging Model Repositories for Digital Twins;No Model used;
18;Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python;No Model used;No MDE technique used
19;Data- and model-driven digital twins for design and logistics control of product distribution;No Model used;No MDE technique used
20;Interface Management with Closed-Loop Systems Engineering (CLOSE);No MDE technique used;No MDE technique used
