;0
0;discrete behavior
1;discrete behavior
2;
3;
4;discrete behavior
5;discrete behavior
6;
7;
8;discrete behavior
9;discrete behavior
10;
11;
12;data
13;data
14;
15;
16;data
17;data
18;
19;
20;data
21;data
22;
23;
24;discrete behavior
25;discrete behavior
26;
27;
28;data
29;data
30;
31;
32;discrete behavior
33;discrete behavior
34;
35;
36;discrete behavior
37;discrete behavior
38;
39;
40;data
41;data
42;discrete behavior
43;discrete behavior
44;architecture
45;architecture
46;
47;
48;ontology
49;ontology
50;
51;
52;data
53;data
54;
55;
56;data
57;data
58;
59;
60;data
61;data
62;
63;
64;data
65;data
66;
67;
68;ontology
69;ontology
70;
71;
72;data
73;data
74;
75;
76;architecture
77;architecture
78;
79;
80;data
81;data
82;
83;
84;data
85;data
86;
87;
88;data
89;data
90;
91;
92;ontology
93;ontology
94;
95;
96;discrete behavior
97;discrete behavior
98;
99;
100;ontology
101;ontology
102;
103;
104;discrete behavior
105;discrete behavior
106;
107;
108;discrete behavior
109;discrete behavior
110;
111;
112;architecture
113;architecture
114;
115;
116;discrete behavior
117;discrete behavior
118;
119;
120;architecture
121;architecture
122;
123;
124;discrete behavior
125;discrete behavior
126;
127;
128;data
129;data
130;
131;
132;data
133;data
134;
135;
136;data
137;data
138;
139;
140;data
141;data
142;
143;
144;
145;
146;
147;
148;discrete behavior
149;discrete behavior
150;
151;
152;discrete behavior
153;discrete behavior
154;
155;
156;ontology
157;ontology
158;
159;
160;ontology
161;ontology
162;
163;
164;ontology
165;ontology
166;
167;
168;data
169;data
170;
171;
172;data
173;data
174;
175;
176;continuous behavior
177;continuous behavior
178;
179;
180;discrete behavior
181;
182;discrete behavior
183;
184;data
185;
186;data
187;
188;data
189;discrete behavior
190;data
191;discrete behavior
192;data
193;discrete behavior
194;data
195;discrete behavior
196;data
197;
198;data
199;
200;data
201;
202;data
203;
204;discrete behavior
205;
206;discrete behavior
207;
208;discrete behavior
209;
210;discrete behavior
211;
212;discrete behavior
213;
214;discrete behavior
215;
216;discrete behavior
217;
218;discrete behavior
219;
220;continuous behavior
221;
222;continuous behavior
223;
224;architecture
225;
226;architecture
227;
228;data
229;
230;data
231;
232;data
233;
234;data
235;
236;ui configuration
237;
238;ui configuration
239;
240;data
241;
242;data
243;
244;discrete behavior
245;
246;discrete behavior
247;
248;data
249;
250;data
251;
252;data
253;
254;data
255;
256;architecture
257;
258;architecture
259;
260;architecture
261;
262;architecture
263;
264;data
265;
266;data
267;
268;ontology
269;
270;ontology
271;
272;data
273;
274;data
275;
276;data
277;
278;data
279;
280;ontology
281;
282;ontology
283;
284;discrete behavior
285;
286;discrete behavior
287;
288;data
289;
290;data
291;
292;continuous behavior
293;
294;continuous behavior
295;
296;architecture
297;
298;architecture
299;
300;architecture
301;
302;architecture
303;
304;discrete behavior
305;
306;discrete behavior
307;
308;data
309;
310;data
311;
312;data
313;
314;data
315;
316;data
317;
318;data
319;
320;data
321;
322;data
323;
324;ontology
325;
326;ontology
327;
328;ontology
329;
330;ontology
331;
332;ontology
333;
334;ontology
335;
336;ontology
337;
338;ontology
339;
340;ontology
341;
342;ontology
343;
344;data
345;
346;data
347;
348;data
349;
350;data
351;
352;ontology
353;
354;ontology
355;
356;machine learning
357;
358;machine learning
359;
360;data
361;data
362;data
363;architecture
364;data
365;ui configuration
366;ui configuration
367;data
368;data
369;continuous behavior
370;continuous behavior
371;architecture
372;data
373;architecture
374;data
375;ui configuration
376;ui configuration
377;discrete behavior
378;data
379;discrete behavior
380;data
381;discrete behavior
382;data
383;architecture
384;ui configuration
385;discrete behavior
386;architecture
387;architecture
388;architecture
389;discrete behavior
390;architecture
391;data
392;architecture
393;data
394;data
395;data
396;architecture
397;ui configuration
398;data
399;ontology
400;ontology
401;ontology
402;ontology
403;data
404;data
405;data
406;data
407;discrete behavior
