source;PT;Software;algorithm;architecture model;backend code;behavior model;data;data model;database;formal;machine learning model;ontology model;runtime data;simulation code;software;state-based;structural model;structure + behavior;structure model;ui configuration model;visualization software
PT;4;0;0;0;6;2;0;2;0;0;2;1;0;3;10;1;2;1;1;1;0
architecture model;1;0;0;1;10;1;0;0;0;2;0;0;0;0;0;1;2;0;0;0;0
behavior model;3;0;0;1;12;6;1;4;0;0;1;0;0;5;5;1;4;0;0;1;0
data model;3;2;1;3;13;3;1;3;3;1;1;1;1;2;6;1;6;0;1;0;3
formal;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
not defined;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ontology model;1;0;0;0;2;0;0;0;0;0;0;2;0;1;2;0;3;1;0;0;0
process;0;0;0;0;2;1;1;2;0;0;0;0;0;1;0;0;1;0;0;0;0
runtime data;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0
software;2;1;0;3;18;3;0;2;0;2;0;0;0;0;1;2;5;0;1;0;3
state-based;3;0;0;1;9;5;0;1;0;0;1;0;0;1;2;1;3;0;0;1;0
structural model;5;2;1;5;23;4;1;3;3;3;1;1;1;0;4;3;8;0;1;0;8
ui configuraiton model;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5
