target;Accommodation;Education;Electricity;Administrative;Construction;Manufacturing;Information and Communication;Transportation and Storage;N/A;None
architecture model;4;0;0;0;0;0;0;0;0;0
continuous behavior;1;2;1;0;0;0;0;0;0;0
data model;1;0;0;1;1;2;0;0;0;0
machine learning model;0;0;0;0;0;0;1;1;0;0
ontology;0;0;0;0;0;1;0;0;1;0
other software code;5;0;0;0;0;12;0;9;2;4
runtime data;0;0;0;0;0;1;0;0;0;0
simulation code;2;0;0;0;0;5;0;3;1;0
state-based behavior;0;0;1;1;0;3;0;0;0;0
ui configuration model;0;0;1;1;0;0;0;0;0;0
